text,intent
what does tertiary mean,concept_query
can you hook me up with a meeting room on saturday morning at 10am,scheduling_action
is it worth investing in target,oos
i want to know what the word discomfit means,concept_query
where can i find the cruise control on my kia sportage 2010,oos
how do you say thank you in spanish,language_assistance
can you translate bat into russian for me,language_assistance
how do you say i need coffee in dutch,language_assistance
what do the values of numbers mean non-numerically,oos
what's the dominant minor for the key of bflat,oos
check if getting a light bulb is on my list of reminders,task_management
what were some of ben franklin's notable accomplishments,oos
definition of anachronism,concept_query
what's your full name,agent_identity
are there meeting rooms available between 4-8,scheduling_action
are there any open meeting rooms between noon and 1,scheduling_action
do i have anything on my calendar for may 3,schedule_query
book me a meeting room for 12pm on february 28th,scheduling_action
tell me what's on my reminders list please,task_management
let me know my march 2 calendar,schedule_query
are trees absolutely necessary to survive,oos
how can i protect myself online,oos
please tell me if there are meeting rooms available between 9:00 am and 11:00 am,scheduling_action
how do they say hello in france,language_assistance
"can you tell me how to say 'i do not speak much spanish', in spanish",language_assistance
when was kobe bryant born,oos
tell me what's on the calendar for saturday,schedule_query
what name would you like me to call you,agent_identity
do you know how to say where is the restroom in french,language_assistance
what phrase means goodbye in hawaii,language_assistance
what's affiliate definition,concept_query
i need to schedule a meeting,scheduling_action
what is the meaning of flange,concept_query
what is the meaning of realism,concept_query
can you tell me what dirge means,concept_query
read me my schedule for march 2,schedule_query
would you be able to help me with a meeting room on wednesday at 3pm,scheduling_action
what do i have going on march 2nd on my calendar,schedule_query
what's the meeting room availability between noon and 2,scheduling_action
tell me what the word arboreal means,concept_query
give me the definition of ajar,concept_query
what name do you answer to,agent_identity
"can you tell me how i would say, 'more bread please' in french",language_assistance
check if meeting rooms are free from 6 to 7,scheduling_action
tell me what is on my todo list,task_management
a meeting needs to be schedule and i need to know how,scheduling_action
please read out my list of tasks to accomplish,task_management
what's the fastest growing stock of 2019,oos
who do you call your boss,agent_identity
what is the definition of flange,concept_query
how do i find a common denominator,oos
are you working for someone other than me,agent_identity
schedule a meeting with carrie and lisa,scheduling_action
do you work for anyone else,agent_identity
are you my worker,agent_identity
do i have get an oil change on my todo list,task_management
how can i schedule a meeting,scheduling_action
give me the meaning of alternative,concept_query
"i need you to translate the sentence, 'we will be there soon' into portuguese",language_assistance
go through my reminder list with me please,task_management
what entity is your boss,agent_identity
what is the largest tree in the world,oos
what is on march 2 calendar,schedule_query
what name should i use to call for you,agent_identity
is buying a light bulb on my reminders list,task_management
how do i create a meeting,scheduling_action
how would i say love in french,language_assistance
who would you say that you are working for,agent_identity
what is the meaning of supercede,concept_query
what does my to-do list consist of,task_management
can you forward this email to my boss,oos
you work for someone else or no,agent_identity
i wanna learn a phrase in russian,language_assistance
who would you say you are employed by,agent_identity
