doc_id,topic,subtopic,question_variation,context,answer_hint
G001,grading,components,How is the course graded?,"The course evaluation is based on three components: one assignment, one project, and one final exam. According to the syllabus, the assignment contributes 10 percent, the project contributes 30 percent, and the final exam contributes 60 percent. The final exam therefore has the largest impact on the final grade.","The course grade is based on assignment, project, and final exam, with the final exam carrying the highest weight."
G002,grading,final_weight,How much does the final exam count?,The syllabus states that the final exam contributes 60 percent of the overall course grade. This makes it the most heavily weighted assessment item in the course evaluation structure.,The final exam counts for 60 percent of the course grade.
G003,grading,project_weight,What is the weight of the project?,"The project is one of the official graded components of the course. In the grading breakdown, it contributes 30 percent to the final course grade, which makes it more significant than the assignment but less than the final exam.",The project is worth 30 percent of the final grade.
G004,grading,assignment_weight,How much is the assignment worth?,"The evaluation table in the syllabus lists a single assignment component. Its contribution to the final course grade is 10 percent, making it the smallest of the three graded items.",The assignment is worth 10 percent of the final grade.
G005,grading,relative_importance,Which assessment affects my grade the most?,"Among the listed assessment components, the final exam has the highest percentage contribution. The project is second, and the assignment has the smallest share of the total grade.",The final exam affects the grade the most.
G006,grading,structure,Are there multiple assignments in this course?,"The syllabus evaluation section lists one assignment, one project, and one final exam. It does not describe a series of weekly homework items in the official percentage table.","The syllabus lists one assignment, not multiple graded assignments in the main evaluation breakdown."
G007,grading,passing_strategy,Which part should I prioritize if I want a better grade?,"Because the final exam carries 60 percent of the overall grade, it has the strongest influence on the final result. The project also matters substantially at 30 percent, while the assignment contributes 10 percent.","The final exam should be prioritized most, followed by the project."
G008,grading,distribution,What are the grading percentages again?,"The grade distribution in the syllabus is clearly separated into three parts. Assignment contributes 10 percent, project contributes 30 percent, and final exam contributes 60 percent.","The grading percentages are 10 percent assignment, 30 percent project, and 60 percent final exam."
S001,schedule,semester,Which semester is this course offered in?,The course description identifies the offering term as Spring. This means the class is scheduled for the spring semester rather than fall or summer.,The course is offered in the spring semester.
S002,schedule,weekly_flow,What happens in the later weeks of the course?,"The weekly course plan places advanced LLM topics in the later part of the semester. Vector databases, retrieval-augmented generation, and large language models appear after the earlier foundations in neural networks, NLP, and transformers.","Later weeks focus on advanced LLM topics such as vector databases, RAG, and LLMs."
S003,schedule,rag_week,When is RAG covered?,The weekly content shows Retrieval Augmented Generation after vector databases and before the main LLM week. It appears in the advanced portion of the semester rather than the beginning.,"RAG is covered in the later weeks, after vector databases."
S004,schedule,project_presentations,When are project presentations scheduled?,The final two weeks of the weekly course plan are reserved for project presentations. This means presentation activity is concentrated at the end of the semester.,Project presentations are scheduled in the last two weeks.
S005,schedule,bert_week,At what point do transformers and BERT show up?,"Transformers with BERT and named entity recognition are introduced after the earlier NLP weeks. They appear before production efficiency, vector databases, and RAG.","Transformers and BERT are taught in the middle part of the semester, after the initial NLP weeks."
S006,schedule,midterm,Is there a midterm week in the schedule?,"Yes, the weekly course content explicitly marks a midterm week. It appears between the early transformer material and the later production and LLM topics.","Yes, the schedule includes a midterm week."
S007,schedule,course_progression,How does the course progress over the semester?,"The course begins with neural networks and CNNs, then moves into NLP and transformer-based methods. After that, it covers efficiency, vector databases, RAG, and LLMs, ending with project presentations.","The course progresses from neural networks and NLP foundations to transformers, RAG, LLMs, and finally presentations."
S008,schedule,topic_order,What comes after vector databases?,"In the weekly schedule, retrieval-augmented generation is listed immediately after vector databases. This makes RAG the next advanced topic following vector database coverage.",RAG comes after vector databases.
E001,exam,final_exam,Is there a final exam in this course?,"Yes, the evaluation section includes a final exam as one of the three official graded components. It also carries the largest percentage in the course grading scheme.","Yes, the course includes a final exam."
E002,exam,final_importance,How important is the final exam?,"The final exam is the most important assessment component in terms of grade weight. It contributes 60 percent, which is more than the assignment and project combined individually.",The final exam is very important because it is worth 60 percent.
E003,exam,exam_role,Does the final exam matter more than the project?,"Yes, the final exam has greater weight than the project. The project contributes 30 percent, while the final exam contributes 60 percent to the overall grade.","Yes, the final exam matters more than the project."
E004,exam,evaluation_component,What are the formal assessment items?,"The official assessment structure contains three items: assignment, project, and final exam. These are the graded components listed in the syllabus evaluation section.","The formal assessment items are assignment, project, and final exam."
E005,exam,grade_balance,Can I ignore the final if my project is good?,That would be risky because the final exam carries the largest percentage in the course grade. Even a strong project cannot fully offset weak final-exam performance due to the 60 percent weight.,"No, ignoring the final is risky because it has the highest weight."
E006,exam,exam_position,Is the final exam likely to be at the end of the course?,"The final exam is part of the official evaluation scheme, while the last weeks are set aside for project presentations. Although the exact exam date is not specified in the course description, the final exam is still a major end-of-course assessment component.","Yes, the course includes a major final assessment, though the exact date is not specified in the provided description."
E007,exam,exam_vs_assignment,"Which is more important, the assignment or the final?","The final exam is much more important in terms of numerical contribution. The assignment counts for only 10 percent, whereas the final exam counts for 60 percent.",The final exam is much more important than the assignment.
E008,exam,exam_summary,What should I know about the exam part of grading?,The exam portion of grading is dominated by the final exam. It is one of the three official assessment items and has the highest contribution in the evaluation scheme.,"The exam part is centered on the final exam, which carries 60 percent."
